Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Answer Question 3;Question 4;Used History Expected;Used History Chatbot Decision;Duration
Which lines is Hypiap Grove on?;Hypiap Grove is on two lines.;Does Schwarryington have disabled access?;Schwarryington offers disabled access.;Can you get rail connections at Hypiap Grove?;Hypiap Grove has rail connections available.;Which lines is Hypiap Grove on and Does Schwarryington have disabled access and Can you get rail connections at Hypiap Grove?;True;True;1.9096155166625977
How many architectural styles does Purple Xiour pass through?;Purple Xiour passes through three different architectural styles.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through six stations.;How many lines is Cuinnton on?;Cuinnton is on two lines.;How many architectural styles does Purple Xiour pass through and Which stations does Olive Tuamp pass through and How many lines is Cuinnton on?;True;True;1.3884117603302002
Is there disabled access at Draamp Lane?;Draamp Lane offers disabled access.;Does Chrift Court have rail connections?;Chrift Court has rail connections available.;How clean is Gloiatsneyland?;Gloiatsneyland is very clean.;Is there disabled access at Draamp Lane and Does Chrift Court have rail connections and How clean is Gloiatsneyland?;True;True;1.2052271366119385
Can you get rail connections at Pfaantlywich?;Pfaantlywich has rail connections available.;How big is Hypaaft Court?;Hypaaft Court is a large-sized area.;How clean is Wrotz Upon Thames?;Wrotz Upon Thames is clean.;Can you get rail connections at Pfaantlywich and How big is Hypaaft Court and How clean is Wrotz Upon Thames?;True;True;2.2191739082336426
What is the cleanliness level of Schooz Upon Thames station?;Schooz Upon Thames station is very clean.;How clean is Skiesly Palace?;Skiesly Palace is moderately clean.;Is there disabled access at Froam Lane?;Froam Lane provides disabled access.;What is the cleanliness level of Schooz Upon Thames station and How clean is Skiesly Palace and Is there disabled access at Froam Lane?;True;True;1.5447180271148682
Which lines is Jeod On Trent on?;Jeod On Trent is on four lines.;How many sizes of station does Orange Dweots pass through?;Orange Dweots passes through stations of six different sizes.;Which stations does Pink Dreark pass through?;Pink Dreark passes through nine stations.;Which lines is Jeod On Trent on and How many sizes of station does Orange Dweots pass through and Which stations does Pink Dreark pass through?;True;False;1.540153980255127
What size is Schwuosk Estate?;Schwuosk Estate is a medium-sized area.;Does Maiaz Court have rail connections?;Maiaz Court has rail connections available.;How many lines is Wrotz Upon Thames on?;Wrotz Upon Thames is on three lines.;What size is Schwuosk Estate and Does Maiaz Court have rail connections and How many lines is Wrotz Upon Thames on?;True;True;1.7816789150238037
Is there disabled access at Knaapt Manor?;Knaapt Manor provides disabled access.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through five stations.;How many architectural styles does Green Mcgoimp pass through?;Green Mcgoimp passes through six different architectural styles.;Is there disabled access at Knaapt Manor and Which stations does Olive Tuamp pass through and How many architectural styles does Green Mcgoimp pass through?;True;True;2.7881109714508057
Does Trar Crossing have disabled access?;Trar Crossing offers disabled access.;How many stations are between Rhisk Crossing and Schwoiarth St?;There are seven stations between Rhisk Crossing and Schwoiarth St.;How many stations are between Pfeirty International and Schlaiosm Hospital?;There are eight stations between Pfeirty International and Schlaiosm Hospital.;Does Trar Crossing have disabled access and How many stations are between Rhisk Crossing and Schwoiarth St and How many stations are between Pfeirty International and Schlaiosm Hospital?;True;True;2.159021377563477
Does Fruirtyneyland have disabled access?;Fruirtyneyland provides disabled access.;How many architectural styles does Purple Xeiav pass through?;Purple Xeiav passes through five different architectural styles.;Are Typairn Estate and Kroakswich on the same line?;Typairn Estate and Kroakswich are on the same line.;Does Fruirtyneyland have disabled access and How many architectural styles does Purple Xeiav pass through and Are Typairn Estate and Kroakswich on the same line?;True;True;1.8468916416168213
What size is Snieub Estate?;Snieub Estate is a large-sized area.;Which stations does Orange Dweots pass through?;Orange Dweots passes through eight stations.;Describe Jauedy Hospital station's architectural style.;Jauedy Hospital station features Brutalist architecture.;What size is Snieub Estate and Which stations does Orange Dweots pass through and Describe Jauedy Hospital station's architectural style?;True;True;1.7379250526428225
How many sizes of station does Cyan Troll pass through?;Cyan Troll passes through stations of four different sizes.;Describe Twuft Square station's architectural style.;Twuft Square features Modernist architecture.;What size is Trauesp Palace?;Trauesp Palace is a large-sized station.;How many sizes of station does Cyan Troll pass through and Describe Twuft Square station's architectural style and What size is Trauesp Palace?;True;True;4.185323238372803
What size is Hypask Square?;Hypask Square is a small-sized area.;How many music styles does Green Criengs pass through?;Green Criengs features four different music styles.;How many architectural styles does Cyan Hypory pass through?;Cyan Hypory passes through four different architectural styles.;What size is Hypask Square and How many music styles does Green Criengs pass through and How many architectural styles does Cyan Hypory pass through?;True;True;1.203507423400879
At Mcclass Court what sort of music plays?;Pop music plays at Mcclass Court.;What size is Skiesly Palace?;Skiesly Palace is a large-sized area.;How many sizes of station does Green Criengs pass through?;Green Criengs passes through stations of five different sizes.;At Mcclass Court what sort of music plays and What size is Skiesly Palace and How many sizes of station does Green Criengs pass through?;True;True;1.4673714637756348
Describe Spieuhl St station's architectural style.;Spieuhl St station features Renaissance architecture.;How many stations are between Pleiw St and Sceiys Road?;There are four stations between Pleiw St and Sceiys Road.;How many music styles does Blue Twauect pass through?;Blue Twauect features two different music styles.;Describe Spieuhl St station's architectural style and How many stations are between Pleiw St and Sceiys Road and How many music styles does Blue Twauect pass through?;True;True;1.504436731338501
Does Mcfoepp Lane have disabled access?;Mcfoepp Lane offers disabled access.;Does Schrioull St have disabled access?;Schrioull St offers disabled access.;Is there disabled access at Whiaop Street?;Whiaop Street offers disabled access.;Does Mcfoepp Lane have disabled access and Does Schrioull St have disabled access and Is there disabled access at Whiaop Street?;True;True;1.717773199081421
What is the cleanliness level of Psychiaongs Court station?;Psychiaongs Court station is clean.;How many lines is Schmaild Crossing on?;Schmaild Crossing is on two lines.;How big is Wreastton?;Wreastton is a large town.;What is the cleanliness level of Psychiaongs Court station and How many lines is Schmaild Crossing on and How big is Wreastton?;True;True;1.6578760147094729
Are Symbeiash Hospital and Mcfial St on the same line?;Symbeiash Hospital and Mcfial St are on different lines.;Does Mcciays Court have disabled access?;Mcciays Court provides disabled access.;What is the cleanliness level of Sqearn Bridge station?;Sqearn Bridge station is moderately clean.;Are Symbeiash Hospital and Mcfial St on the same line and Does Mcciays Court have disabled access and What is the cleanliness level of Sqearn Bridge station?;True;True;1.7684872150421145
Does Schwarryington have rail connections?;Schwarryington has rail connections available.;Does Kleoslyneyland have rail connections?;Kleoslyneyland has rail connections available.;Are Fruirtyneyland and Theunn Crossing on the same line?;Fruirtyneyland and Theunn Crossing are on the same line.;Does Schwarryington have rail connections and Does Kleoslyneyland have rail connections and Are Fruirtyneyland and Theunn Crossing on the same line?;True;True;1.5067665576934814
What movies has Keanu Reeves acted in?;"Keanu Reeves acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";What year was the movie 'Bicentennial Man' released?;"""Bicentennial Man"" was released in 1999.";What year was the actor Lilly Wachowski born?;Lilly Wachowski was born in 1967.;What movies has Keanu Reeves acted in and What year was the movie 'Bicentennial Man' released and What year was the actor Lilly Wachowski born?;True;True;1.3849449157714844
How many movies has Carrie-Anne Moss directed?;Carrie-Anne Moss has not directed any movies.;What year was the movie 'One Flew Over the Cuckoo's Nest' released?;"""One Flew Over the Cuckoo's Nest"" was released in 1975.";Which movies has Lana Wachowski directed?;"Lana Wachowski directed ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";How many movies has Carrie-Anne Moss directed and What year was the movie 'One Flew Over the Cuckoo's Nest' released and Which movies has Lana Wachowski directed?;True;True;1.2829887866973877
"Who directed the movie ""The Matrix Reloaded""?";"""The Matrix Reloaded"" was directed by Lana Wachowski and Lilly Wachowski.";What movies has Chris Columbus acted in?;Chris Columbus has not acted in any movies.;"How many votes did the movie ""Joe Versus the Volcano"" get?";"""Joe Versus the Volcano"" received 18 votes.";"Who directed the movie ""The Matrix Reloaded"" and What movies has Chris Columbus acted in and How many votes did the movie ""Joe Versus the Volcano"" get?";True;True;1.2794973850250244
Which movies did Laurence Fishburne direct?;Laurence Fishburne has not directed any movies.;How many movies has Cameron Crowe directed?;Cameron Crowe has not directed any movies.;"What is the tagline of the movie ""When Harry Met Sally""?";"The tagline of ""When Harry Met Sally"" is ""Can two friends sleep together and still love each other in the morning?""";"Which movies did Laurence Fishburne direct and How many movies has Cameron Crowe directed and What is the tagline of the movie ""When Harry Met Sally""?";True;False;1.2004344463348389
When was the actor Keanu Reeves born?;Keanu Reeves was born in 1964.;What movies has Christina Ricci acted in?;"Christina Ricci acted in ""Speed Racer"".";"When was the movie ""That Thing You Do"" released?";"""That Thing You Do"" was released in 1996.";"When was the actor Keanu Reeves born and What movies has Christina Ricci acted in and When was the movie ""That Thing You Do"" released?";True;True;1.4132957458496094
"How many votes did the movie ""The Matrix Reloaded"" receive?";"""The Matrix Reloaded"" received 1444 votes.";How many movies has Gary Sinise directed?;Gary Sinise has not directed any movies.;"Did Joel Silver produce ""The Replacements""?";"Joel Silver produced ""The Replacements.""";"How many votes did the movie ""The Matrix Reloaded"" receive and How many movies has Gary Sinise directed and Did Joel Silver produce ""The Replacements""?";True;True;1.3976056575775146
When was the actor Helen Hunt born?;Helen Hunt was born in 1963.;What is the tagline of the movie 'What Dreams May Come'?;"The tagline of ""What Dreams May Come"" is ""After life there is more. The end is just the beginning.""";What movies has Emil Eifrem acted in?;Emil Eifrem did not act in any movies.;When was the actor Helen Hunt born and What is the tagline of the movie 'What Dreams May Come' and What movies has Emil Eifrem acted in?;True;True;1.430612325668335
"What is the tagline of the movie ""What Dreams May Come""?";"The tagline of ""What Dreams May Come"" is ""After life there is more. The end is just the beginning.""";What movies has Ice-T acted in?;"Ice-T has not acted in ""Johnny Mnemonic"".";"How many votes did the movie ""Rescue Dawn"" receive?";"""Rescue Dawn"" received 12 votes.";"What is the tagline of the movie ""What Dreams May Come"" and What movies has Ice-T acted in and How many votes did the movie ""Rescue Dawn"" receive?";True;False;1.0097885131835938
In which movies has Carrie-Anne Moss acted?;"Carrie-Anne Moss acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";When was the actor Orlando Jones born?;Orlando Jones was born in 1968.;"What is the tagline of the movie ""The Birdcage""?";"The tagline of ""The Birdcage"" is ""Come as you are.""";"In which movies has Carrie-Anne Moss acted and When was the actor Orlando Jones born and What is the tagline of the movie ""The Birdcage""?";True;True;1.5324227809906006
"When was the movie ""The Devil's Advocate"" released?";"""The Devil's Advocate"" was released in 1997.";How many movies has Tony Scott directed?;"Tony Scott directed ""Topgun"".";"When was the movie ""Unforgiven"" released?";"""Unforgiven"" was released in 1992.";"When was the movie ""The Devil's Advocate"" released and How many movies has Tony Scott directed and When was the movie ""Unforgiven"" released?";True;False;2.1329054832458496
"How many votes did the movie ""Hoffa"" receive?";"""Hoffa"" received 40 votes.";What movies has Gene Hackman acted in?;"Gene Hackman acted in ""The Birdcage"", ""The Replacements"" and ""Unforgiven"".";In which movies has Charlize Theron acted?;"Charlize Theron acted in ""That Thing You Do"" and ""The Devil's Advocate"".";"How many votes did the movie ""Hoffa"" receive and What movies has Gene Hackman acted in and In which movies has Charlize Theron acted?";True;True;1.550112009048462
"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded""?";"Hugo Weaving acted in ""The Matrix Reloaded.""";When was the actor Brooke Langton born?;Brooke Langton was born in 1970.;"How many votes did the movie ""Johnny Mnemonic"" receive?";"""Johnny Mnemonic"" received 28 votes.";"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded"" and When was the actor Brooke Langton born and How many votes did the movie ""Johnny Mnemonic"" receive?";True;True;1.224536418914795
"What is the tagline of the movie ""The Devil's Advocate""?";"The tagline of ""The Devil's Advocate"" is ""Evil has its winning ways.""";What movies has Emile Hirsch acted in?;"Emile Hirsch acted in ""Speed Racer"".";"What is the tagline of the movie ""Cloud Atlas""?";"The tagline of ""Cloud Atlas"" is ""Everything is connected.""";"What is the tagline of the movie ""The Devil's Advocate"" and What movies has Emile Hirsch acted in and What is the tagline of the movie ""Cloud Atlas""?";True;True;1.5653798580169678
What year was the actor Hugo Weaving born?;Hugo Weaving was born in 1960.;When was the actor Paul Bettany born?;Paul Bettany was born in 1971.;"When was ""The Da Vinci Code"" released?";"""The Da Vinci Code"" was released in 2006.";"What year was the actor Hugo Weaving born and When was the actor Paul Bettany born and When was ""The Da Vinci Code"" released?";True;True;0.960545301437378
Which movies has Joel Silver produced?;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";What year was the movie 'V for Vendetta' released?;"""V for Vendetta"" was released in 2006.";"Did Al Pacino act in ""V for Vendetta""?";"Al Pacino did not act in ""V for Vendetta.""";"Which movies has Joel Silver produced and What year was the movie 'V for Vendetta' released and Did Al Pacino act in ""V for Vendetta""?";True;True;1.7463359832763672
When was the actor Annabella Sciorra born?;Annabella Sciorra was born in 1960.;How many movies has Keanu Reeves directed?;Keanu Reeves has not directed any movies.;What movies has Taylor Hackford directed?;"Taylor Hackford directed The Devil's Advocate"".";When was the actor Annabella Sciorra born and How many movies has Keanu Reeves directed and What movies has Taylor Hackford directed?;True;True;1.574791431427002
"Did Carrie-Anne Moss act in ""What Dreams May Come""?";"Carrie-Anne Moss did not act in ""What Dreams May Come.""";What year was the movie 'The Matrix Reloaded' released?;"""The Matrix Reloaded"" was released in 2003.";"How many votes did the movie ""Speed Racer"" get?";"""Speed Racer"" received 29 votes.";"Did Carrie-Anne Moss act in ""What Dreams May Come"" and What year was the movie 'The Matrix Reloaded' released and How many votes did the movie ""Speed Racer"" get?";True;True;1.1156117916107178
What movies were directed by Laurence Fishburne?;Laurence Fishburne has not directed any movies.;What movies has Helen Hunt acted in?;"Helen Hunt acted in ""Cast Away"", ""As Good as It Gets"" and ""Joe Versus the Volcano"".";"What is the tagline of the movie ""Ninja Assassin""?";"The tagline of ""Ninja Assassin"" is ""Prepare to enter a secret world of assassins.""";"What movies were directed by Laurence Fishburne and What movies has Helen Hunt acted in and What is the tagline of the movie ""Ninja Assassin""?";True;True;1.1480262279510498
"When was the movie ""The Devil's Advocate"" released?";"""The Devil's Advocate"" was released in 1997.";How many movies has River Phoenix directed?;River Phoenix has not directed any movies.;"When was the movie ""The Green Mile"" released?";"""The Green Mile"" was released in 1999.";"When was the movie ""The Devil's Advocate"" released and How many movies has River Phoenix directed and When was the movie ""The Green Mile"" released?";True;True;0.9195504188537598
"How many votes did the movie ""What Dreams May Come"" receive?";"""What Dreams May Come"" received 32 votes.";How many votes did the movie 'Something's Gotta Give' receive?;"""Something's Gotta Give"" received 42 votes.";In which movies has Tom Cruise acted?;"Tom Cruise acted in ""Jerry Maguire"", ""Topgun"" and ""A Few Good Men"".";"How many votes did the movie ""What Dreams May Come"" receive and How many votes did the movie 'Something's Gotta Give' receive and In which movies has Tom Cruise acted?";True;True;2.017693042755127
Has Keanu Reeves ever directed a movie?;Keanu Reeves has not directed any movies.;What movies has Robin Williams acted in?;"Robin Williams acted in ""What Dreams May Come.""";"How many votes did the movie ""Frost/Nixon"" receive?";"""Frost/Nixon"" received 0 votes.";"Has Keanu Reeves ever directed a movie and What movies has Robin Williams acted in and How many votes did the movie ""Frost/Nixon"" receive?";True;False;1.108720064163208
What is the actor Joel Silver's birth year?;Joel Silver's birth year is 1952.;What movies has Rosie O'Donnell acted in?;"Rosie O'Donnell acted in ""A League of Their Own"" and ""Sleepless in Seattle"".";"What is the tagline of the movie ""Hoffa""?";"The tagline of ""Hoffa"" is ""He didn't want law. He wanted justice.""";"What is the actor Joel Silver's birth year and What movies has Rosie O'Donnell acted in and What is the tagline of the movie ""Hoffa""?";True;True;1.5031347274780271
Which movies feature Hugo Weaving as an actor?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" and ""Cloud Atlas.""";How many movies has Scott Hicks directed?;"Scott Hicks directed ""Snow Falling on Cedars"".";"When was the movie ""Apollo 13"" released?";"""Apollo 13"" was released in 1995.";"Which movies feature Hugo Weaving as an actor and How many movies has Scott Hicks directed and When was the movie ""Apollo 13"" released?";True;True;3.637880325317383
"Did Laurence Fishburne act in or direct ""Hoffa""?";"Laurence Fishburne did not act in or direct ""Hoffa"".";What year was the movie 'Charlie Wilson's War' released?;"""Charlie Wilson's War"" was released in 2007.";"Did Jack Nicholson act in ""Twister""?";"Jack Nicholson did not act in ""Twister.""";"Did Laurence Fishburne act in or direct ""Hoffa"" and What year was the movie 'Charlie Wilson's War' released and Did Jack Nicholson act in ""Twister""?";True;True;1.341820240020752
How many movies has Carrie-Anne Moss acted in since 2000?;"Carrie-Anne Moss acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions"" since 2000.";What movies has Steve Zahn acted in?;"Steve Zahn acted in You've Got Mail"" and ""RescueDawn"".";What movies has Demi Moore directed?;Demi Moore has not directed any movies.;How many movies has Carrie-Anne Moss acted in since 2000 and What movies has Steve Zahn acted in and What movies has Demi Moore directed?;True;True;1.47538161277771
"In what year was the movie ""The Matrix Reloaded"" released?";"""The Matrix Reloaded"" was released in 2003.";When was the actor Ice-T born?;Ice-T was born in 1958.;"How many votes did the movie ""Cast Away"" get?";"""Cast Away"" received 82 votes.";"In what year was the movie ""The Matrix Reloaded"" released and When was the actor Ice-T born and How many votes did the movie ""Cast Away"" get?";True;True;1.5035078525543213
"Who produced the movie ""The Devil's Advocate""?";"""The Devil's Advocate"" was produced by Joel Silver.";What movies has Tom Hanks acted in?;"Tom Hanks acted in ""Cast Away"" and ""Joe Versus the Volcano.""";"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";"The tagline of ""One Flew Over the Cuckoo's Nest"" is ""If he's crazy, what does that make you?"".";"Who produced the movie ""The Devil's Advocate"" and What movies has Tom Hanks acted in and What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";True;True;1.2999563217163086
What movies has Keanu Reeves acted in that were released in the 2000s?;"Keanu Reeves acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions"" in the 2000s.";How many movies has Bonnie Hunt directed?;Bonnie Hunt has not directed any movies.;"When was the movie ""Something's Gotta Give"" released?";"""Something's Gotta Give"" was released in 2003.";"What movies has Keanu Reeves acted in that were released in the 2000s and How many movies has Bonnie Hunt directed and When was the movie ""Something's Gotta Give"" released?";True;True;1.010920524597168
"Did Hugo Weaving act in ""What Dreams May Come""?";"Hugo Weaving did not act in ""What Dreams May Come.""";What movies has James Thompson acted in?;James Thompson has not acted in any movies.;In which movies has Renee Zellweger acted?;"Renee Zellweger acted in ""Jerry Maguire"".";"Did Hugo Weaving act in ""What Dreams May Come"" and What movies has James Thompson acted in and In which movies has Renee Zellweger acted?";True;False;1.151604413986206
"How many votes did the movie ""The Matrix Reloaded"" receive in total?";"""The Matrix Reloaded"" received 1444 votes in total.";How many movies has Emil Eifrem directed?;Emil Eifrem has not directed any movies.;"How many votes did the movie ""Bicentennial Man"" receive?";"""Bicentennial Man"" received 68 votes.";"How many votes did the movie ""The Matrix Reloaded"" receive in total and How many movies has Emil Eifrem directed and How many votes did the movie ""Bicentennial Man"" receive?";True;True;1.390469312667847
List all the movies directed by Joel Silver.;Joel Silver directed no movies.;What movies has Jonathan Lipnicki acted in?;"Jonathan Lipnicki acted in ""Jerry Maguire.""";"What is the tagline of the movie ""Charlie Wilson's War""?";"The tagline of ""Charlie Wilson's War"" is ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire"".";"List all the movies directed by Joel Silver and What movies has Jonathan Lipnicki acted in and What is the tagline of the movie ""Charlie Wilson's War""?";True;True;1.3684196472167969
What is the birth year of the actor Carrie-Anne Moss?;Carrie-Anne Moss was born in 1967.;When was the actor Rita Wilson born?;Rita Wilson was born in 1956.;"When was the movie ""The Polar Express"" released?";"""The Polar Express"" was released in 2004.";"What is the birth year of the actor Carrie-Anne Moss and When was the actor Rita Wilson born and When was the movie ""The Polar Express"" released?";True;True;1.2793245315551758
Which movies starring Laurence Fishburne were released in the 1990s?;Laurence Fishburne did not star in any movies in the 1990s listed.;What movies has Sam Rockwell acted in?;"Sam Rockwell acted in ""The Green Mile"" and ""Frost/Nixon"".";"Did Kiefer Sutherland act in ""A League of Their Own""?";"Kiefer Sutherland did not act in ""A League of Their Own.""";"Which movies starring Laurence Fishburne were released in the 1990s and What movies has Sam Rockwell acted in and Did Kiefer Sutherland act in ""A League of Their Own""?";True;True;1.085486888885498
How many movies has Madonna directed?;Madonna has not directed any movies.;When was the actor Taylor Hackford born?;Taylor Hackford was born in 1944.;What movies has Noah Wyle directed?;Noah Wyle has not directed any movies.;How many movies has Madonna directed and When was the actor Taylor Hackford born and What movies has Noah Wyle directed?;True;True;1.5256304740905762
What movies has Hugo Weaving acted in with a Sci-Fi theme?;"Hugo Weaving acted in Sci-Fi theme movies ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" ""Cloud Atlas,"" and ""Johnny Mnemonic.""";How many movies has Meg Ryan directed?;Meg Ryan has not directed any movies.;"How many votes did the movie ""Stand By Me"" get?";"""Stand By Me"" received 51 votes.";"What movies has Hugo Weaving acted in with a Sci-Fi theme and How many movies has Meg Ryan directed and How many votes did the movie ""Stand By Me"" get?";True;True;1.3111114501953125
In which movies did Carrie-Anne Moss play a leading role?;"Carrie-Anne Moss played leading roles in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";What is the tagline of the movie 'The Matrix Reloaded'?;"The tagline of ""The Matrix Reloaded"" is ""Free your mind.""";"What is the tagline of the movie ""As Good as It Gets""?";"The tagline of ""As Good as It Gets"" is ""A comedy from the heart that goes for the throat.""";"In which movies did Carrie-Anne Moss play a leading role and What is the tagline of the movie 'The Matrix Reloaded' and What is the tagline of the movie ""As Good as It Gets""?";True;True;1.2297537326812744
"What is the release year of the movie ""What Dreams May Come""?";"""What Dreams May Come"" was released in 1998.";What movies has Tom Cruise acted in?;"Tom Cruise acted in ""Jerry Maguire"" and ""A Few Good Men.""";"When was the movie ""What Dreams May Come"" released?";"""What Dreams May Come"" was released in 1998.";"What is the release year of the movie ""What Dreams May Come"" and What movies has Tom Cruise acted in and When was the movie ""What Dreams May Come"" released?";True;True;0.9748847484588624
List all the movies produced by Joel Silver.;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";How many movies has John Goodman directed?;John Goodman has not directed any movies.;In which movies has Cuba Gooding Jr. acted?;"Cuba Gooding Jr. acted in ""What Dreams May Come"", ""Jerry Maguire"" and ""title: A Few Good Men"".";List all the movies produced by Joel Silver and How many movies has John Goodman directed and In which movies has Cuba Gooding Jr acted?;True;True;1.9642295837402344
What movies has Laurence Fishburne acted in that have won awards?;Laurence Fishburne has not acted in movies that have won awards.;What movies has Jerry O'Connell acted in?;"Jerry O'Connell acted in ""Jerry Maguire"" and ""Stand By Me.""";"How many votes did the movie ""Snow Falling on Cedars"" receive?";"""Snow Falling on Cedars"" received 51 votes.";"What movies has Laurence Fishburne acted in that have won awards and What movies has Jerry O'Connell acted in and How many votes did the movie ""Snow Falling on Cedars"" receive?";True;False;1.188528537750244
Did Hugo Weaving direct any movies released in the 2000s?;Hugo Weaving did not direct any movies released in the 2000s.;How many movies has Jonathan Lipnicki directed?;Jonathan Lipnicki has not directed any movies.;"What is the tagline of the movie ""You've Got Mail""?";"The tagline of ""You've Got Mail"" is ""At odds in life... in love on-line.""";"Did Hugo Weaving direct any movies released in the 2000s and How many movies has Jonathan Lipnicki directed and What is the tagline of the movie ""You've Got Mail""?";True;True;1.3202285766601562
What is the birth year of the actor Laurence Fishburne?;Laurence Fishburne was born in 1961.;How many movies has Frank Darabont directed?;"Frank Darabont directed ""The Green Mile"".";Was the actor Lilly Wachowski born in 1960?;Lilly Wachowski was born in 1967.;What is the birth year of the actor Laurence Fishburne and How many movies has Frank Darabont directed and Was the actor Lilly Wachowski born in 1960?;True;True;1.27618670463562
Who directed the movies that Joel Silver produced?;"Joel Silver did not direct movies; he produced them.";How many movies has Dina Meyer directed?;Dina Meyer has not directed any movies.;How many movies has Ethan Hawke directed?;Ethan Hawke has not directed any movies.;Who directed the movies that Joel Silver produced and How many movies has Dina Meyer directed and How many movies has Ethan Hawke directed?;True;False;1.5077664852142334
"Who wrote the script for the movie ""The Matrix Reloaded""?";"""The Matrix Reloaded"" script was written by Lana Wachowski and Lilly Wachowski.";How many movies has James Cromwell directed?;James Cromwell has not directed any movies.;What is the tagline of the movie 'Unforgiven'?;"The tagline for ""Unforgiven"" is ""It's a hell of a thing, killing a man.""";"Who wrote the script for the movie ""The Matrix Reloaded"" and How many movies has James Cromwell directed and What is the tagline of the movie 'Unforgiven'?";True;True;1.4316608905792236
Which movies feature Keanu Reeves in a leading role?;"Keanu Reeves starred in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";How many movies has Kiefer Sutherland directed?;Kiefer Sutherland has not directed any movies.;What movies has Demi Moore acted in?;"Demi Moore acted in ""A Few Good Men"".";Which movies feature Keanu Reeves in a leading role and How many movies has Kiefer Sutherland directed and What movies has Demi Moore acted in?;True;False;1.4902255535125732
Has Hugo Weaving ever been involved in a movie as a producer?;Hugo Weaving has not been involved in a movie as a producer.;How many movies has Charlize Theron directed?;Charlize Theron has not directed any movies.;How many movies has Chris Columbus directed?;"Chris Columbus has directed ""Bicentennial Man"".";Has Hugo Weaving ever been involved in a movie as a producer and How many movies has Charlize Theron directed and How many movies has Chris Columbus directed?;True;False;1.0926530361175537
How many films has Carrie-Anne Moss acted in that were released before 2000?;"Carrie-Anne Moss acted in ""The Matrix"" that was released before 2000.";What is the tagline of the movie 'Jerry Maguire'?;"The tagline for ""Jerry Maguire"" is ""The rest of his life begins now.""";How many movies has Annabella Sciorra directed?;Annabella Sciorra has not directed any movies.;How many films has Carrie-Anne Moss acted in that were released before 2000 and What is the tagline of the movie 'Jerry Maguire' and How many movies has Annabella Sciorra directed?;True;True;2.700712919235229
Who directed the movies in which Joel Silver acted?;Joel Silver did not direct any movies listed.;What movies has Hugo Weaving acted in?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";When was the actor River Phoenix born?;River Phoenix was born in 1970.;Who directed the movies in which Joel Silver acted and What movies has Hugo Weaving acted in and When was the actor River Phoenix born?;True;False;2.2361936569213867
How many movies has Lilly Wachowski directed?;Lilly Wachowski has directed three movies.;What is the tagline of the movie 'Charlie Wilson's War'?;"The tagline of ""Charlie Wilson's War"" is ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire"".";What year was the movie 'A League of Their Own' released?;"""A League of Their Own"" was released in 1992.";How many movies has Lilly Wachowski directed and What is the tagline of the movie 'Charlie Wilson's War' and What year was the movie 'A League of Their Own' released?;True;True;1.767394781112671
How many movies has Joel Silver produced?;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";When was the actor David Mitchell born?;David Mitchell was born in 1969.;When was the actor Tom Skerritt born?;Tom Skerritt was born in 1933.;How many movies has Joel Silver produced and When was the actor David Mitchell born and When was the actor Tom Skerritt born?;True;True;0.9423975944519044
What movies acted Carrie-Anne Moss were released in the 1990s?;"Carrie-Anne Moss cted in ""The Matrix"" in the 1990s.";How many votes did the movie 'Unforgiven' receive?;"""Unforgiven"" received 49 votes.";What movies has John Patrick Stanley acted in?;John Patrick Stanley has not acted in any movies.;What movies acted Carrie-Anne Moss were released in the 1990s and How many votes did the movie 'Unforgiven' receive and What movies has John Patrick Stanley acted in?;True;True;1.3388400077819824
