Question;Answer Question;Followup Question;Used History Expected;Used History Chatbot Decision;Duration
In which movies has Charlize Theron acted?;"Charlize Theron acted in ""That Thing You Do"" and ""The Devil's Advocate"".";In which movies has Charlize Theron acted?;True;False;1.158496618270874
"How many votes did the movie ""Johnny Mnemonic"" receive?";"""Johnny Mnemonic"" received 28 votes.";"How many votes did the movie ""Johnny Mnemonic"" receive?";True;True;0.9334824085235596
"What is the tagline of the movie ""Cloud Atlas""?";"The tagline of ""Cloud Atlas"" is ""Everything is connected.""";"What is the tagline of the movie ""Cloud Atlas""?";True;True;1.4538729190826416
"When was ""The Da Vinci Code"" released?";"""The Da Vinci Code"" was released in 2006.";"When was ""The Da Vinci Code"" released?";True;True;1.372544527053833
"Did Al Pacino act in ""V for Vendetta""?";"Al Pacino did not act in ""V for Vendetta.""";"Did Al Pacino act in ""V for Vendetta""?";True;True;1.1897330284118652
What movies has Taylor Hackford directed?;"Taylor Hackford directed The Devil's Advocate"".";What movies has Taylor Hackford directed?;True;False;1.177222728729248
"How many votes did the movie ""Speed Racer"" get?";"""Speed Racer"" received 29 votes.";"How many votes did the movie ""Speed Racer"" get?";True;True;1.556037664413452
"What is the tagline of the movie ""Ninja Assassin""?";"The tagline of ""Ninja Assassin"" is ""Prepare to enter a secret world of assassins.""";"What is the tagline of the movie ""Ninja Assassin""?";True;True;1.189211368560791
"When was the movie ""The Green Mile"" released?";"""The Green Mile"" was released in 1999.";"When was the movie ""The Green Mile"" released?";True;True;1.224339723587036
In which movies has Tom Cruise acted?;"Tom Cruise acted in ""Jerry Maguire"", ""Topgun"" and ""A Few Good Men"".";In which movies has Tom Cruise acted?;True;False;0.987811803817749
"How many votes did the movie ""Frost/Nixon"" receive?";"""Frost/Nixon"" received 0 votes.";"How many votes did the movie ""Frost/Nixon"" receive?";True;True;0.8652627468109131
"What is the tagline of the movie ""Hoffa""?";"The tagline of ""Hoffa"" is ""He didn't want law. He wanted justice.""";"What is the tagline of the movie ""Hoffa""?";True;True;1.0291252136230469
"When was the movie ""Apollo 13"" released?";"""Apollo 13"" was released in 1995.";"When was the movie ""Apollo 13"" released?";True;True;1.7431378364562988
"Did Jack Nicholson act in ""Twister""?";"Jack Nicholson did not act in ""Twister.""";"Did Jack Nicholson act in ""Twister""?";True;True;1.2502641677856443
What movies has Demi Moore directed?;Demi Moore has not directed any movies.;What movies has Demi Moore directed?;True;True;1.9663922786712649
"How many votes did the movie ""Cast Away"" get?";"""Cast Away"" received 82 votes.";"How many votes did the movie ""Cast Away"" get?";True;True;1.4834198951721191
"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";"The tagline of ""One Flew Over the Cuckoo's Nest"" is ""If he's crazy, what does that make you?"".";"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";True;True;1.003547191619873
"When was the movie ""Something's Gotta Give"" released?";"""Something's Gotta Give"" was released in 2003.";"When was the movie ""Something's Gotta Give"" released?";True;True;1.257390022277832
In which movies has Renee Zellweger acted?;"Renee Zellweger acted in ""Jerry Maguire"".";In which movies has Renee Zellweger acted?;True;False;1.1316068172454834
"How many votes did the movie ""Bicentennial Man"" receive?";"""Bicentennial Man"" received 68 votes.";"How many votes did the movie ""Bicentennial Man"" receive?";True;True;1.4213309288024902
"What is the tagline of the movie ""Charlie Wilson's War""?";"The tagline of ""Charlie Wilson's War"" is ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire"".";"What is the tagline of the movie ""Charlie Wilson's War""?";True;True;1.0925331115722656
"When was the movie ""The Polar Express"" released?";"""The Polar Express"" was released in 2004.";"When was the movie ""The Polar Express"" released?";True;True;1.0319960117340088
"Did Kiefer Sutherland act in ""A League of Their Own""?";"Kiefer Sutherland did not act in ""A League of Their Own.""";"Did Kiefer Sutherland act in ""A League of Their Own""?";True;True;1.5229885578155518
What movies has Noah Wyle directed?;Noah Wyle has not directed any movies.;What movies has Noah Wyle directed?;True;True;1.6518661975860596
"How many votes did the movie ""Stand By Me"" get?";"""Stand By Me"" received 51 votes.";"How many votes did the movie ""Stand By Me"" get?";True;True;1.1371212005615234
"What is the tagline of the movie ""As Good as It Gets""?";"The tagline of ""As Good as It Gets"" is ""A comedy from the heart that goes for the throat.""";"What is the tagline of the movie ""As Good as It Gets""?";True;True;0.8917977809906006
"When was the movie ""What Dreams May Come"" released?";"""What Dreams May Come"" was released in 1998.";"When was the movie ""What Dreams May Come"" released?";True;True;1.2023530006408691
In which movies has Cuba Gooding Jr. acted?;"Cuba Gooding Jr. acted in ""What Dreams May Come"", ""Jerry Maguire"" and ""title: A Few Good Men"".";In which movies has Cuba Gooding Jr. acted?;True;True;1.447334051132202
"How many votes did the movie ""Snow Falling on Cedars"" receive?";"""Snow Falling on Cedars"" received 51 votes.";"How many votes did the movie ""Snow Falling on Cedars"" receive?";True;True;5.8301310539245605
"What is the tagline of the movie ""You've Got Mail""?";"The tagline of ""You've Got Mail"" is ""At odds in life... in love on-line.""";"What is the tagline of the movie ""You've Got Mail""?";True;True;1.42441987991333
Was the actor Lilly Wachowski born in 1960?;Lilly Wachowski was born in 1967.;Was the actor Lilly Wachowski born in 1960?;True;True;2.3534889221191406
