Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Used History Expected;Used History Chatbot Decision;Duration
When was the actor Annabella Sciorra born?;Annabella Sciorra was born in 1960.;How many movies has Keanu Reeves directed?;Keanu Reeves has not directed any movies.;When was the actor Annabella Sciorra born and How many movies has Keanu Reeves directed?;True;True;1.1688392162322998
"Did Carrie-Anne Moss act in ""What Dreams May Come""?";"Carrie-Anne Moss did not act in ""What Dreams May Come.""";What year was the movie 'The Matrix Reloaded' released?;"""The Matrix Reloaded"" was released in 2003.";"Did Carrie-Anne Moss act in ""What Dreams May Come"" and What year was the movie 'The Matrix Reloaded' released?";True;True;2.405678033828736
What movies were directed by Laurence Fishburne?;Laurence Fishburne has not directed any movies.;What movies has Helen Hunt acted in?;"Helen Hunt acted in ""Cast Away"", ""As Good as It Gets"" and ""Joe Versus the Volcano"".";What movies were directed by Laurence Fishburne and What movies has Helen Hunt acted in?;True;True;1.8218390941619875
"When was the movie ""The Devil's Advocate"" released?";"""The Devil's Advocate"" was released in 1997.";How many movies has River Phoenix directed?;River Phoenix has not directed any movies.;"When was the movie ""The Devil's Advocate"" released and How many movies has River Phoenix directed?";True;True;1.0591771602630615
"How many votes did the movie ""What Dreams May Come"" receive?";"""What Dreams May Come"" received 32 votes.";How many votes did the movie 'Something's Gotta Give' receive?;"""Something's Gotta Give"" received 42 votes.";"How many votes did the movie ""What Dreams May Come"" receive and How many votes did the movie 'Something's Gotta Give' receive?";True;True;1.3023157119750977
Has Keanu Reeves ever directed a movie?;Keanu Reeves has not directed any movies.;What movies has Robin Williams acted in?;"Robin Williams acted in ""What Dreams May Come.""";Has Keanu Reeves ever directed a movie and What movies has Robin Williams acted in?;True;False;0.9208869934082032
What is the actor Joel Silver's birth year?;Joel Silver's birth year is 1952.;What movies has Rosie O'Donnell acted in?;"Rosie O'Donnell acted in ""A League of Their Own"" and ""Sleepless in Seattle"".";What is the actor Joel Silver's birth year and What movies has Rosie O'Donnell acted in?;True;True;1.1105625629425049
Which movies feature Hugo Weaving as an actor?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" and ""Cloud Atlas.""";How many movies has Scott Hicks directed?;"Scott Hicks directed ""Snow Falling on Cedars"".";Which movies feature Hugo Weaving as an actor and How many movies has Scott Hicks directed?;True;False;0.9194748401641846
"Did Laurence Fishburne act in or direct ""Hoffa""?";"Laurence Fishburne did not act in or direct ""Hoffa"".";What year was the movie 'Charlie Wilson's War' released?;"""Charlie Wilson's War"" was released in 2007.";"Did Laurence Fishburne act in or direct ""Hoffa"" and What year was the movie 'Charlie Wilson's War' released?";True;True;2.2415847778320312
How many movies has Carrie-Anne Moss acted in since 2000?;"Carrie-Anne Moss acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions"" since 2000.";What movies has Steve Zahn acted in?;"Steve Zahn acted in You've Got Mail"" and ""RescueDawn"".";How many movies has Carrie-Anne Moss acted in since 2000 and What movies has Steve Zahn acted in?;True;False;1.2910714149475098
"In what year was the movie ""The Matrix Reloaded"" released?";"""The Matrix Reloaded"" was released in 2003.";When was the actor Ice-T born?;Ice-T was born in 1958.;"In what year was the movie ""The Matrix Reloaded"" released and When was the actor Ice-T born?";True;True;1.1515815258026123
"Who produced the movie ""The Devil's Advocate""?";"""The Devil's Advocate"" was produced by Joel Silver.";What movies has Tom Hanks acted in?;"Tom Hanks acted in ""Cast Away"" and ""Joe Versus the Volcano.""";"Who produced the movie ""The Devil's Advocate"" and What movies has Tom Hanks acted in?";True;True;1.3041999340057373
What movies has Keanu Reeves acted in that were released in the 2000s?;"Keanu Reeves acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions"" in the 2000s.";How many movies has Bonnie Hunt directed?;Bonnie Hunt has not directed any movies.;What movies has Keanu Reeves acted in that were released in the 2000s and How many movies has Bonnie Hunt directed?;True;True;1.69122052192688
"Did Hugo Weaving act in ""What Dreams May Come""?";"Hugo Weaving did not act in ""What Dreams May Come.""";What movies has James Thompson acted in?;James Thompson has not acted in any movies.;"Did Hugo Weaving act in ""What Dreams May Come"" and What movies has James Thompson acted in?";True;False;0.9301819801330566
"How many votes did the movie ""The Matrix Reloaded"" receive in total?";"""The Matrix Reloaded"" received 1444 votes in total.";How many movies has Emil Eifrem directed?;Emil Eifrem has not directed any movies.;"How many votes did the movie ""The Matrix Reloaded"" receive in total and How many movies has Emil Eifrem directed?";True;True;1.4154205322265625
List all the movies directed by Joel Silver.;Joel Silver directed no movies.;What movies has Jonathan Lipnicki acted in?;"Jonathan Lipnicki acted in ""Jerry Maguire.""";List all the movies directed by Joel Silver and What movies has Jonathan Lipnicki acted in?;True;False;1.033524513244629
What is the birth year of the actor Carrie-Anne Moss?;Carrie-Anne Moss was born in 1967.;When was the actor Rita Wilson born?;Rita Wilson was born in 1956.;What is the birth year of the actor Carrie-Anne Moss and When was the actor Rita Wilson born?;True;True;1.2231431007385254
Which movies starring Laurence Fishburne were released in the 1990s?;Laurence Fishburne did not star in any movies in the 1990s listed.;What movies has Sam Rockwell acted in?;"Sam Rockwell acted in ""The Green Mile"" and ""Frost/Nixon"".";Which movies starring Laurence Fishburne were released in the 1990s and What movies has Sam Rockwell acted in?;True;True;1.2165701389312744
How many movies has Madonna directed?;Madonna has not directed any movies.;When was the actor Taylor Hackford born?;Taylor Hackford was born in 1944.;How many movies has Madonna directed and When was the actor Taylor Hackford born?;True;True;0.9013891220092772
What movies has Hugo Weaving acted in with a Sci-Fi theme?;"Hugo Weaving acted in Sci-Fi theme movies ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" ""Cloud Atlas,"" and ""Johnny Mnemonic.""";How many movies has Meg Ryan directed?;Meg Ryan has not directed any movies.;What movies has Hugo Weaving acted in with a Sci-Fi theme and How many movies has Meg Ryan directed?;True;True;1.062588453292847
In which movies did Carrie-Anne Moss play a leading role?;"Carrie-Anne Moss played leading roles in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";What is the tagline of the movie 'The Matrix Reloaded'?;"The tagline of ""The Matrix Reloaded"" is ""Free your mind.""";In which movies did Carrie-Anne Moss play a leading role and What is the tagline of the movie 'The Matrix Reloaded'?;True;True;1.3189432621002195
"What is the release year of the movie ""What Dreams May Come""?";"""What Dreams May Come"" was released in 1998.";What movies has Tom Cruise acted in?;"Tom Cruise acted in ""Jerry Maguire"" and ""A Few Good Men.""";"What is the release year of the movie ""What Dreams May Come"" and What movies has Tom Cruise acted in?";True;False;1.3047854900360107
List all the movies produced by Joel Silver.;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";How many movies has John Goodman directed?;John Goodman has not directed any movies.;List all the movies produced by Joel Silver and How many movies has John Goodman directed?;True;True;1.2506601810455322
What movies has Laurence Fishburne acted in that have won awards?;Laurence Fishburne has not acted in movies that have won awards.;What movies has Jerry O'Connell acted in?;"Jerry O'Connell acted in ""Jerry Maguire"" and ""Stand By Me.""";What movies has Laurence Fishburne acted in that have won awards and What movies has Jerry O'Connell acted in?;True;False;0.8956232070922852
Did Hugo Weaving direct any movies released in the 2000s?;Hugo Weaving did not direct any movies released in the 2000s.;How many movies has Jonathan Lipnicki directed?;Jonathan Lipnicki has not directed any movies.;Did Hugo Weaving direct any movies released in the 2000s and How many movies has Jonathan Lipnicki directed?;True;True;2.7847707271575928
What is the birth year of the actor Laurence Fishburne?;Laurence Fishburne was born in 1961.;How many movies has Frank Darabont directed?;"Frank Darabont directed ""The Green Mile"".";What is the birth year of the actor Laurence Fishburne and How many movies has Frank Darabont directed?;True;False;1.16884183883667
Who directed the movies that Joel Silver produced?;"Joel Silver did not direct movies; he produced them.";How many movies has Dina Meyer directed?;Dina Meyer has not directed any movies.;Who directed the movies that Joel Silver produced and How many movies has Dina Meyer directed?;True;True;1.3831851482391355
"Who wrote the script for the movie ""The Matrix Reloaded""?";"""The Matrix Reloaded"" script was written by Lana Wachowski and Lilly Wachowski.";How many movies has James Cromwell directed?;James Cromwell has not directed any movies.;"Who wrote the script for the movie ""The Matrix Reloaded"" and How many movies has James Cromwell directed?";True;True;0.943577527999878
Which movies feature Keanu Reeves in a leading role?;"Keanu Reeves starred in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";How many movies has Kiefer Sutherland directed?;Kiefer Sutherland has not directed any movies.;Which movies feature Keanu Reeves in a leading role and How many movies has Kiefer Sutherland directed?;True;True;1.5574097633361816
Has Hugo Weaving ever been involved in a movie as a producer?;Hugo Weaving has not been involved in a movie as a producer.;How many movies has Charlize Theron directed?;Charlize Theron has not directed any movies.;Has Hugo Weaving ever been involved in a movie as a producer and How many movies has Charlize Theron directed?;True;True;0.9643993377685548
How many films has Carrie-Anne Moss acted in that were released before 2000?;"Carrie-Anne Moss acted in ""The Matrix"" that was released before 2000.";What is the tagline of the movie 'Jerry Maguire'?;"The tagline for ""Jerry Maguire"" is ""The rest of his life begins now.""";How many films has Carrie-Anne Moss acted in that were released before 2000 and What is the tagline of the movie 'Jerry Maguire'?;True;True;1.212754726409912
Who directed the movies in which Joel Silver acted?;Joel Silver did not direct any movies listed.;What movies has Hugo Weaving acted in?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";Who directed the movies in which Joel Silver acted and What movies has Hugo Weaving acted in?;True;False;1.0214474201202393
How many movies has Lilly Wachowski directed?;Lilly Wachowski has directed three movies.;What is the tagline of the movie 'Charlie Wilson's War'?;"The tagline of ""Charlie Wilson's War"" is ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire"".";How many movies has Lilly Wachowski directed and What is the tagline of the movie 'Charlie Wilson's War'?;True;True;1.0970966815948486
How many movies has Joel Silver produced?;"Joel Silver produced ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" and ""V for Vendetta.""";When was the actor David Mitchell born?;David Mitchell was born in 1969.;How many movies has Joel Silver produced and When was the actor David Mitchell born?;True;True;0.9848990440368652
What movies acted Carrie-Anne Moss were released in the 1990s?;"Carrie-Anne Moss cted in ""The Matrix"" in the 1990s.";How many votes did the movie 'Unforgiven' receive?;"""Unforgiven"" received 49 votes.";What movies acted Carrie-Anne Moss were released in the 1990s and How many votes did the movie 'Unforgiven' receive?;True;True;1.402263641357422
"Who wrote the script for the movie ""The Devil's Advocate""?";"""The Devil's Advocate"" script was written by Jonathan Lemkin and Tony Gilroy.";When was the actor Meg Ryan born?;Meg Ryan was born in 1961.;"Who wrote the script for the movie ""The Devil's Advocate"" and When was the actor Meg Ryan born?";True;True;1.4425880908966064
"How many votes has the movie ""What Dreams May Come"" become?";"""What Dreams May Come"" has become 32 votes.";What movies has John Hurt acted in?;"John Hurt acted in "" V for Vendetta"".";"How many votes has the movie ""What Dreams May Come"" become and What movies has John Hurt acted in?";True;True;1.3240904808044434
What movies has Stephen Rea acted in?;"Stephen Rea acted in ""V for Vendetta"".";What year was the movie 'Apollo 13' released?;"""Apollo 13"" was released in 1995.";What movies has Stephen Rea acted in and What year was the movie 'Apollo 13' released?;True;True;1.0045533180236816
"In what year was the movie ""The Devil's Advocate"" released?";"""The Devil's Advocate"" was released in 1997.";How many movies has Ed Harris directed?;Ed Harris has not directed any movies.;"In what year was the movie ""The Devil's Advocate"" released and How many movies has Ed Harris directed?";True;True;1.422830581665039
What movies feature Hugo Weaving in a supporting role?;"Hugo Weaving acted in a supporting role in ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" and ""Cloud Atlas.""";What year was the movie 'The Replacements' released?;"""The Replacements"" was released in 2000.";What movies feature Hugo Weaving in a supporting role and What year was the movie 'The Replacements' released?;True;True;1.3033325672149658
Which films has Joel Silver directed?;Joel Silver did not direct any movies listed.;How many movies has Carrie-Anne Moss directed?;Carrie-Anne Moss has not directed any movies.;Which films has Joel Silver directed and How many movies has Carrie-Anne Moss directed?;True;True;1.1636781692504885
"How many votes did the movie ""What Dreams May Come"" get?";"""What Dreams May Come"" received 32 votes.";When was the actor Laurence Fishburne born?;Laurence Fishburne was born in 1961.;"How many votes did the movie ""What Dreams May Come"" get and When was the actor Laurence Fishburne born?";True;True;0.8867311477661133
"Did Carrie-Anne Moss act in ""The Devil's Advocate""?";"Carrie-Anne Moss did not act in ""The Devil's Advocate.""";What movies has Aaron Sorkin acted in?;Aaron Sorkin has not acted in any movies.;"Did Carrie-Anne Moss act in ""The Devil's Advocate"" and What movies has Aaron Sorkin acted in?";True;True;1.3225231170654297
What year was the actor Laurence Fishburne born?;Laurence Fishburne was born in 1961.;What movies has John C. Reilly acted in?;"John C. Reilly acted in ""Hoffa"".";What year was the actor Laurence Fishburne born and What movies has John C Reilly acted in?;True;False;1.041501760482788
Which movies has Keanu Reeves reviewed?;Keanu Reeves has not reviewed any movies.;What year was the movie 'You've Got Mail' released?;"""You've Got Mail"" was released in 1998.";Which movies has Keanu Reeves reviewed and What year was the movie 'You've Got Mail' released?;True;True;1.342775583267212
How many films has Hugo Weaving acted in since 2010?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" and ""Cloud Atlas"" since 2010.";When was the actor Paul Blythe born?;Paul Blythe's birth year is not clear.;How many films has Hugo Weaving acted in since 2010 and When was the actor Paul Blythe born?;True;False;1.3193597793579102
"Did Keanu Reeves act in or produce ""What Dreams May Come""?";"Keanu Reeves did not act in or produce ""What Dreams May Come.""";When was the actor John Goodman born?;John Goodman was born in 1952.;"Did Keanu Reeves act in or produce ""What Dreams May Come"" and When was the actor John Goodman born?";True;True;1.2506349086761477
"What's the tagline for the movie ""What Dreams May Come""?";"The tagline for ""What Dreams May Come"" is ""After life there is more. The end is just the beginning.""";What is the tagline of the movie 'V for Vendetta'?;"The tagline for ""V for Vendetta"" is ""Freedom! Forever!""";"What's the tagline for the movie ""What Dreams May Come"" and What is the tagline of the movie 'V for Vendetta'?";True;True;1.106194257736206
When was the actor Keanu Reeves born?;Keanu Reeves was born in 1964.;How many movies has Natalie Portman directed?;Natalie Portman has not directed any movies.;When was the actor Keanu Reeves born and How many movies has Natalie Portman directed?;True;True;1.0304205417633057
"How many votes did the movie ""The Matrix"" receive?";"""The Matrix"" received 4801 votes.";How many movies has Steve Zahn directed?;Steve Zahn has not directed any movies.;"How many votes did the movie ""The Matrix"" receive and How many movies has Steve Zahn directed?";True;True;1.0248420238494873
"What is the tagline of the movie ""The Matrix Reloaded""?";"The tagline of ""The Matrix Reloaded"" is ""Free your mind.""";When was the actor Greg Kinnear born?;Greg Kinnear was born in 1963.;"What is the tagline of the movie ""The Matrix Reloaded"" and When was the actor Greg Kinnear born?";True;True;1.125835657119751
"When was the movie ""The Matrix Revolutions"" released?";"""The Matrix Revolutions"" was released in 2003.";How many votes did the movie 'Charlie Wilson's War' receive?;"""Charlie Wilson's War"" received 17 votes.";"When was the movie ""The Matrix Revolutions"" released and How many votes did the movie 'Charlie Wilson's War' receive?";True;True;1.1988372802734375
"Did Carrie-Anne Moss act in the movie ""The Devil's Advocate""?";"Carrie-Anne Moss did not act in ""The Devil's Advocate.""";What year was the movie 'The Birdcage' released?;"""The Birdcage"" was released in 1996.";"Did Carrie-Anne Moss act in the movie ""The Devil's Advocate"" and What year was the movie 'The Birdcage' released?";True;True;1.2739052772521973
What movies has Laurence Fishburne directed?;Laurence Fishburne did not direct any movies.;What movies has Brooke Langton acted in?;"Brooke Langton acted in ""The Replacements"".";What movies has Laurence Fishburne directed and What movies has Brooke Langton acted in?;True;False;1.3971621990203855
"How many votes did the movie ""A Few Good Men"" receive?";"""A Few Good Men"" received 348 votes.";How many movies has Tom Skerritt directed?;Tom Skerritt has not directed any movies.;"How many votes did the movie ""A Few Good Men"" receive and How many movies has Tom Skerritt directed?";True;True;1.345111608505249
"What is the tagline of the movie ""Top Gun""?";"The tagline of ""Top Gun"" is ""I feel the need, the need for speed.""";What movies has Val Kilmer acted in?;"Val Kilmer acted in ""Topgun"".";"What is the tagline of the movie ""Top Gun"" and What movies has Val Kilmer acted in?";True;False;1.3306515216827393
"When was the movie ""Jerry Maguire"" released?";"""Jerry Maguire"" was released in 2000.";What movies has Kevin Pollak acted in?;"Kevin Pollak acted in ""A Few Good Men"".";"When was the movie ""Jerry Maguire"" released and What movies has Kevin Pollak acted in?";True;False;0.909268856048584
In which movies has Hugo Weaving acted?;"Hugo Weaving acted in ""The Matrix,"" ""The Matrix Reloaded,"" ""The Matrix Revolutions,"" ""V for Vendetta,"" and ""Cloud Atlas.""";When was the actor Nora Ephron born?;Nora Ephron was born in 1941.;In which movies has Hugo Weaving acted and When was the actor Nora Ephron born?;True;True;1.1232402324676514
What year was the actor Lilly Wachowski born?;Lilly Wachowski was born in 1967.;What movies has David Morse acted in?;"David Morse acted in ""The Green Mile"".";What year was the actor Lilly Wachowski born and What movies has David Morse acted in?;True;False;1.1561906337738037
Which movies has Lana Wachowski directed?;"Lana Wachowski directed ""The Matrix,"" ""The Matrix Reloaded,"" and ""The Matrix Revolutions.""";What movies has Christian Bale acted in?;"Christian Bale acted in ""RescueDawn"".";Which movies has Lana Wachowski directed and What movies has Christian Bale acted in?;True;False;1.2504498958587646
"How many votes did the movie ""Joe Versus the Volcano"" get?";"""Joe Versus the Volcano"" received 18 votes.";What year was the movie 'Cast Away' released?;"""Cast Away"" was released in 2000.";"How many votes did the movie ""Joe Versus the Volcano"" get and What year was the movie 'Cast Away' released?";True;True;1.3304767608642578
"What is the tagline of the movie ""When Harry Met Sally""?";"The tagline of ""When Harry Met Sally"" is ""Can two friends sleep together and still love each other in the morning?""";How many movies has Ethan Hawke directed?;Ethan Hawke has not directed any movies.;"What is the tagline of the movie ""When Harry Met Sally"" and How many movies has Ethan Hawke directed?";True;True;0.8349900245666504
"When was the movie ""That Thing You Do"" released?";"""That Thing You Do"" was released in 1996.";What is the tagline of the movie 'Unforgiven'?;"The tagline for ""Unforgiven"" is ""It's a hell of a thing, killing a man.""";"When was the movie ""That Thing You Do"" released and What is the tagline of the movie 'Unforgiven'?";True;True;1.200206279754639
"Did Joel Silver produce ""The Replacements""?";"Joel Silver produced ""The Replacements.""";What movies has Demi Moore acted in?;"Demi Moore acted in ""A Few Good Men"".";"Did Joel Silver produce ""The Replacements"" and What movies has Demi Moore acted in?";True;False;1.3179771900177002
What movies has Emil Eifrem acted in?;Emil Eifrem did not act in any movies.;How many movies has Chris Columbus directed?;"Chris Columbus has directed ""Bicentennial Man"".";What movies has Emil Eifrem acted in and How many movies has Chris Columbus directed?;True;False;1.2335600852966309
"How many votes did the movie ""Rescue Dawn"" receive?";"""Rescue Dawn"" received 12 votes.";How many movies has Annabella Sciorra directed?;Annabella Sciorra has not directed any movies.;"How many votes did the movie ""Rescue Dawn"" receive and How many movies has Annabella Sciorra directed?";True;True;1.434455156326294
"What is the tagline of the movie ""The Birdcage""?";"The tagline of ""The Birdcage"" is ""Come as you are.""";When was the actor River Phoenix born?;River Phoenix was born in 1970.;"What is the tagline of the movie ""The Birdcage"" and When was the actor River Phoenix born?";True;True;1.7204320430755615
"When was the movie ""Unforgiven"" released?";"""Unforgiven"" was released in 1992.";What year was the movie 'A League of Their Own' released?;"""A League of Their Own"" was released in 1992.";"When was the movie ""Unforgiven"" released and What year was the movie 'A League of Their Own' released?";True;True;1.2738289833068848
In which movies has Charlize Theron acted?;"Charlize Theron acted in ""That Thing You Do"" and ""The Devil's Advocate"".";When was the actor Tom Skerritt born?;Tom Skerritt was born in 1933.;In which movies has Charlize Theron acted and When was the actor Tom Skerritt born?;True;True;1.1222202777862549
"How many votes did the movie ""Johnny Mnemonic"" receive?";"""Johnny Mnemonic"" received 28 votes.";What movies has John Patrick Stanley acted in?;John Patrick Stanley has not acted in any movies.;"How many votes did the movie ""Johnny Mnemonic"" receive and What movies has John Patrick Stanley acted in?";True;True;0.9305026531219482
"What is the tagline of the movie ""Cloud Atlas""?";"The tagline of ""Cloud Atlas"" is ""Everything is connected.""";What movies has Corey Feldman acted in?;"Corey Feldman acted in ""Stand By Me"".";"What is the tagline of the movie ""Cloud Atlas"" and What movies has Corey Feldman acted in?";True;False;1.7774899005889893
"When was ""The Da Vinci Code"" released?";"""The Da Vinci Code"" was released in 2006.";How many movies has Renee Zellweger directed?;Renee Zellweger has not directed any movies.;"When was ""The Da Vinci Code"" released and How many movies has Renee Zellweger directed?";True;True;2.0689408779144287
"Did Al Pacino act in ""V for Vendetta""?";"Al Pacino did not act in ""V for Vendetta.""";What year was the movie 'RescueDawn' released?;"""RescueDawn"" was released in 2006.";"Did Al Pacino act in ""V for Vendetta"" and What year was the movie 'RescueDawn' released?";True;True;1.383469581604004
What movies has Taylor Hackford directed?;"Taylor Hackford directed The Devil's Advocate"".";What movies has Takeshi Kitano acted in?;"Takeshi Kitano acted in ""Johnny Mnemonic"".";What movies has Taylor Hackford directed and What movies has Takeshi Kitano acted in?;True;False;1.280285120010376
"How many votes did the movie ""Speed Racer"" get?";"""Speed Racer"" received 29 votes.";What movies has James Marshall acted in?;"James Marshall acted in ""A Few Good Men"".";"How many votes did the movie ""Speed Racer"" get and What movies has James Marshall acted in?";True;True;1.3062310218811035
"What is the tagline of the movie ""Ninja Assassin""?";"The tagline of ""Ninja Assassin"" is ""Prepare to enter a secret world of assassins.""";What is the tagline of the movie 'The Replacements'?;"The tagline for ""The Replacements"" is ""Pain heals, Chicks dig scars... Glory lasts forever.""";"What is the tagline of the movie ""Ninja Assassin"" and What is the tagline of the movie 'The Replacements'?";True;True;1.3405964374542236
"When was the movie ""The Green Mile"" released?";"""The Green Mile"" was released in 1999.";What movies has Wil Wheaton acted in?;"Wil Wheaton acted in ""Stand By Me"".";"When was the movie ""The Green Mile"" released and What movies has Wil Wheaton acted in?";True;True;1.2307209968566897
In which movies has Tom Cruise acted?;"Tom Cruise acted in ""Jerry Maguire"", ""Topgun"" and ""A Few Good Men"".";How many votes did the movie 'A Few Good Men' receive?;"""A Few Good Men"" received 348 votes.";In which movies has Tom Cruise acted and How many votes did the movie 'A Few Good Men' receive?;True;True;1.341663122177124
"How many votes did the movie ""Frost/Nixon"" receive?";"""Frost/Nixon"" received 0 votes.";How many movies has Jim Cash directed?;Jim Cash has not directed any movies.;"How many votes did the movie ""Frost/Nixon"" receive and How many movies has Jim Cash directed?";True;True;1.6619768142700195
"What is the tagline of the movie ""Hoffa""?";"The tagline of ""Hoffa"" is ""He didn't want law. He wanted justice.""";How many movies has Naomie Harris directed?;Naomie Harris has not directed any movies.;"What is the tagline of the movie ""Hoffa"" and How many movies has Naomie Harris directed?";True;True;1.1236059665679932
"When was the movie ""Apollo 13"" released?";"""Apollo 13"" was released in 1995.";When was the actor Robert Longo born?;Robert Longo was born in 1953.;"When was the movie ""Apollo 13"" released and When was the actor Robert Longo born?";True;True;1.2353367805480957
"Did Jack Nicholson act in ""Twister""?";"Jack Nicholson did not act in ""Twister.""";When was the actor Parker Posey born?;Parker Posey was born in 1968.;"Did Jack Nicholson act in ""Twister"" and When was the actor Parker Posey born?";True;True;1.9753401279449463
What movies has Demi Moore directed?;Demi Moore has not directed any movies.;What movies has Nora Ephron acted in?;Nora Ephron has not acted in any movies.;What movies has Demi Moore directed and What movies has Nora Ephron acted in?;True;True;1.163713455200195
"How many votes did the movie ""Cast Away"" get?";"""Cast Away"" received 82 votes.";When was the actor Ed Harris born?;Ed Harris was born in 1950.;"How many votes did the movie ""Cast Away"" get and When was the actor Ed Harris born?";True;True;1.7249507904052734
"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest""?";"The tagline of ""One Flew Over the Cuckoo's Nest"" is ""If he's crazy, what does that make you?"".";When was the actor John Cusack born?;John Cusack was born in 1966.;"What is the tagline of the movie ""One Flew Over the Cuckoo's Nest"" and When was the actor John Cusack born?";True;True;1.377981424331665
"When was the movie ""Something's Gotta Give"" released?";"""Something's Gotta Give"" was released in 2003.";When was the actor Oliver Platt born?;Oliver Platt was born in 1960.;"When was the movie ""Something's Gotta Give"" released and When was the actor Oliver Platt born?";True;True;0.8683052062988281
In which movies has Renee Zellweger acted?;"Renee Zellweger acted in ""Jerry Maguire"".";How many movies has Christopher Guest directed?;Christopher Guest has not directed any movies.;In which movies has Renee Zellweger acted and How many movies has Christopher Guest directed?;True;False;1.0173494815826416
"How many votes did the movie ""Bicentennial Man"" receive?";"""Bicentennial Man"" received 68 votes.";When was the actor Emile Hirsch born?;Emile Hirsch was born in 1985.;"How many votes did the movie ""Bicentennial Man"" receive and When was the actor Emile Hirsch born?";True;True;1.2047507762908936
"What is the tagline of the movie ""Charlie Wilson's War""?";"The tagline of ""Charlie Wilson's War"" is ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire"".";How many movies has Ron Howard directed?;"Ron Howard directed ""The Da Vinci Code"" and ""Frost/Nixon"".";"What is the tagline of the movie ""Charlie Wilson's War"" and How many movies has Ron Howard directed?";True;False;1.2732915878295898
"When was the movie ""The Polar Express"" released?";"""The Polar Express"" was released in 2004.";What movies has Orlando Jones acted in?;"Orlando Jones acted in ""The Replacements"".";"When was the movie ""The Polar Express"" released and What movies has Orlando Jones acted in?";True;False;1.0087954998016355
"Did Kiefer Sutherland act in ""A League of Their Own""?";"Kiefer Sutherland did not act in ""A League of Their Own.""";How many movies has Christian Bale directed?;Christian Bale has not directed any movies.;"Did Kiefer Sutherland act in ""A League of Their Own"" and How many movies has Christian Bale directed?";True;True;1.3743648529052734
What movies has Noah Wyle directed?;Noah Wyle has not directed any movies.;When was the actor John C. Reilly born?;John C. Reilly was born in 1965.;What movies has Noah Wyle directed and When was the actor John C Reilly born?;True;True;1.303424596786499
"How many votes did the movie ""Stand By Me"" get?";"""Stand By Me"" received 51 votes.";What movies has Paul Blythe acted in?;Paul Blythe has not acted in any movies.;"How many votes did the movie ""Stand By Me"" get and What movies has Paul Blythe acted in?";True;True;1.239964485168457
"What is the tagline of the movie ""As Good as It Gets""?";"The tagline of ""As Good as It Gets"" is ""A comedy from the heart that goes for the throat.""";How many movies has Brooke Langton directed?;Brooke Langton has not directed any movies.;"What is the tagline of the movie ""As Good as It Gets"" and How many movies has Brooke Langton directed?";True;True;1.4080500602722168
"When was the movie ""What Dreams May Come"" released?";"""What Dreams May Come"" was released in 1998.";When was the actor Lori Petty born?;Lori Petty was born in 1963.;"When was the movie ""What Dreams May Come"" released and When was the actor Lori Petty born?";True;True;2.022350788116455
In which movies has Cuba Gooding Jr. acted?;"Cuba Gooding Jr. acted in ""What Dreams May Come"", ""Jerry Maguire"" and ""title: A Few Good Men"".";When was the actor Christopher Guest born?;Christopher Guest was born in 1948.;In which movies has Cuba Gooding Jr acted and When was the actor Christopher Guest born?;True;True;1.1600449085235596
"How many votes did the movie ""Snow Falling on Cedars"" receive?";"""Snow Falling on Cedars"" received 51 votes.";When was the actor Zach Grenier born?;Zach Grenier was born in 1954.;"How many votes did the movie ""Snow Falling on Cedars"" receive and When was the actor Zach Grenier born?";True;True;1.1395485401153564
"What is the tagline of the movie ""You've Got Mail""?";"The tagline of ""You've Got Mail"" is ""At odds in life... in love on-line.""";How many movies has Richard Harris directed?;Richard Harris has not directed any movies.;"What is the tagline of the movie ""You've Got Mail"" and How many movies has Richard Harris directed?";True;True;1.1469366550445557
Was the actor Lilly Wachowski born in 1960?;Lilly Wachowski was born in 1967.;How many movies has Stephen Rea directed?;Stephen Rea has not directed any movies.;Was the actor Lilly Wachowski born in 1960 and How many movies has Stephen Rea directed?;True;True;1.1856286525726318
