question;cypher;group;answer;cleaned_query;duration_query_generation;db_result;syntax_error;timeout_error;duration_query_execution;chat_generation_answer;duration_chat_answer;Human Evaluation
How many sizes of station does Red Hrouly pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Red Hrouly""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Red Hrouly""})<-[:EDGE]-(:STATION)-[:EDGE]->(s:STATION)
RETURN COUNT(DISTINCT s.size) AS distinct_station_sizes
";3.7354390621185294;"[{""distinct_station_sizes"": 0}]";False;False;0.0308399200439453;Red Hrouly passes through zero distinct station sizes.;1.677060842514038;Incorrect
What is the cleanliness level of Viuth Estate station?;"MATCH (var1) WHERE var1.name=""Viuth Estate""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;dirty;"MATCH (s:STATION {name: ""Viuth Estate""})
RETURN s.cleanliness AS cleanliness_level
";1.4547452926635742;"[{""cleanliness_level"": ""dirty""}]";False;False;0.0098719596862792;The cleanliness level of Viuth Estate station is currently dirty.;1.334892511367798;Correct
How many sizes of station does Purple Hydraf pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Hydraf""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Purple Hydraf""})<-[:EDGE]-(:STATION)-[:EDGE]->(s:STATION)
RETURN COUNT(DISTINCT s.size) AS distinct_station_sizes
";2.2591030597686768;"[{""distinct_station_sizes"": 0}]";False;False;0.0322051048278808;Purple Hydraf passes through zero distinct station sizes.;1.1669301986694336;Incorrect
What architectural style is Greerry On Trent?;"MATCH (var1) WHERE var1.name=""Greerry On Trent""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;new;"MATCH (s:STATION {name: ""Greerry On Trent""})
RETURN s.architecture AS architecture
";1.5333781242370603;"[{""architecture"": ""new""}]";False;False;0.0122785568237304;The architectural style of Greerry On Trent is new.;0.9863698482513428;Correct
How many sizes of station does Red Briudly pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Red Briudly""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Red Briudly""})<-[:EDGE]-(:STATION)-[:EDGE]->(s:STATION)
RETURN COUNT(DISTINCT s.size) AS distinct_station_sizes
";2.9955427646636963;"[{""distinct_station_sizes"": 0}]";False;False;0.0145142078399658;Red Briudly passes through no distinct station sizes.;0.7589268684387207;Incorrect
Does Fruirtyneyland have disabled access?;"MATCH (var1) WHERE var1.name=""Fruirtyneyland""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;True;"MATCH (s:STATION {name: ""Fruirtyneyland""})
RETURN s.disabled_access AS DisabledAccess
";1.6069822311401367;"[{""DisabledAccess"": true}]";False;False;0.0118956565856933;Yes, Fruityneyland does have disabled access.;1.2034306526184082;Correct
Which stations does Purple Hydraf pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Hydraf""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4 AS var5 WITH DISTINCT var5 as var6, 1 AS foo  WITH 1 AS foo, var6.name AS var7  RETURN var7";;['Shroond Court', 'Typirdston', 'Truirr St', 'Mcclass Court', 'Klicswich', 'Slurty Road', 'Plieurts Court', 'Dwuislyneyland', 'Tsoex Boulevard', 'Ghaiockham', 'Fleug Crossing', 'Mckiew Lane', 'Mccouzwich', 'Schwuosk Estate', 'Poiaptwich', 'Wreastton'];"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION)
WHERE e.line_name = 'Purple Hydraf'
RETURN s1.name AS Station1, s2.name AS Station2
";22.434095859527588;"[{""Station1"": ""Plieurts Court"", ""Station2"": ""Truirr St""}, {""Station1"": ""Dwuislyneyland"", ""Station2"": ""Schwuosk Estate""}, {""Station1"": ""Ghaiockham"", ""Station2"": ""Dwuislyneyland""}, {""Station1"": ""Mckiew Lane"", ""Station2"": ""Wreastton""}, {""Station1"": ""Tsoex Boulevard"", ""Station2"": ""Slurty Road""}, {""Station1"": ""Schwuosk Estate"", ""Station2"": ""Tsoex Boulevard""}, {""Station1"": ""Mccouzwich"", ""Station2"": ""Klicswich""}, {""Station1"": ""Klicswich"", ""Station2"": ""Mcclass Court""}, {""Station1"": ""Mcclass Court"", ""Station2"": ""Shroond Court""}, {""Station1"": ""Shroond Court"", ""Station2"": ""Ghaiockham""}, {""Station1"": ""Slurty Road"", ""Station2"": ""Fleug Crossing""}, {""Station1"": ""Fleug Crossing"", ""Station2"": ""Plieurts Court""}, {""Station1"": ""Truirr St"", ""Station2"": ""Typirdston""}, {""Station1"": ""Typirdston"", ""Station2"": ""Poiaptwich""}, {""Station1"": ""Poiaptwich"", ""Station2"": ""Mckiew Lane""}]";False;False;0.0115237236022949;The Purple Hydraf passes through the following stations: Plieurts Court, Truirr St, Typirdston, Poiaptwich, Mckiew Lane, Wreastton, Dwuislyneyland, Schwuosk Estate, Tsoex Boulevard, Slurty Road, Fleug Crossing, Ghaiockham, Shroond Court, Mcclass Court, Klicswich, and Mccouzwich.;7.476482629776001;Correct
Is there disabled access at Pleiw St?;"MATCH (var1) WHERE var1.name=""Pleiw St""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;True;"MATCH (s:STATION {name: ""Pleiw St""})
RETURN s.disabled_access AS DisabledAccess
";2.633509635925293;"[{""DisabledAccess"": true}]";False;False;0.0111565589904785;Yes, there is disabled access at Pleiw St.;1.3120431900024414;Correct
How many stations are between Schmiarfington and Griakton?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Schmiarfington"" AND var2.name=""Griakton""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;15;"MATCH path = (s1:STATION)-[:EDGE*]->(s2:STATION)
WHERE s1.name = 'Schmiarfington' AND s2.name = 'Griakton'
RETURN length(path) - 1 AS stationsBetween
";3.65566611289978;;False;True;;;;Incorrect
How many stations are between Pleiw St and Sceiys Road?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Pleiw St"" AND var2.name=""Sceiys Road""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;6;"MATCH path = (:STATION {name: 'Pleiw St'})-[:EDGE*]->(:STATION {name: 'Sceiys Road'})
RETURN length(path) - 1 AS stationsBetween
";3.871255874633789;[];False;False;0.0327293872833251;I don't know the answer.;1.0043175220489502;Incorrect
How many sizes of station does Pink Whiel pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Pink Whiel""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Pink Whiel""})<-[:EDGE]-(:STATION)-[:EDGE]->(s:STATION)
RETURN COUNT(DISTINCT s.size) AS distinct_station_sizes
";4.183255434036255;"[{""distinct_station_sizes"": 0}]";False;False;0.0135462284088134;Pink Whiel passes through zero distinct station sizes.;0.9058411121368408;Incorrect
At Mccliiv Boulevard what sort of music plays?;"MATCH (var1) WHERE var1.name=""Mccliiv Boulevard""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;pop;"MATCH (s:STATION {name: ""Mccliiv Boulevard""})
RETURN s.music AS Music
";1.7001752853393557;"[{""Music"": ""pop""}]";False;False;0.0095057487487792;At Mccliiv Boulevard, pop music plays.;0.8985037803649902;Correct
How many architectural styles does Cyan Beohn pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Cyan Beohn""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.architecture AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;6;"MATCH (:STATION {name: ""Cyan Beohn""})-[:EDGE*]-(s:STATION)
RETURN COUNT(DISTINCT s.architecture) AS architecturalStyles
";4.347253799438477;"[{""architecturalStyles"": 0}]";False;False;0.026857852935791;Cyan Beohn passes through zero architectural styles.;1.2621347904205322;Incorrect
How big is Thruolly Lane?;"MATCH (var1) WHERE var1.name=""Thruolly Lane""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;large;"MATCH (s:STATION {name: ""Thruolly Lane""})
RETURN s.size AS size
";2.4209110736846924;"[{""size"": ""large""}]";False;False;0.0100855827331542;Thruolly Lane is large.;0.985109806060791;Correct
How big is Bliurty Bridge?;"MATCH (var1) WHERE var1.name=""Bliurty Bridge""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;small;"MATCH (s:STATION {name: ""Bliurty Bridge""})
RETURN s.size AS size
";1.2931580543518066;"[{""size"": ""small""}]";False;False;0.011890172958374;The Bliurty Bridge is small in size.;1.0319054126739502;Correct
Which lines is Jeod On Trent on?;"MATCH (var1) WHERE var1.name=""Jeod On Trent""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN var5";;['Purple Psycharts'];"MATCH (s:STATION)-[e:EDGE]-(l:LINE)
WHERE s.name = 'Jeod On Trent'
RETURN DISTINCT l.name
";1.830695867538452;[];False;False;0.0270936489105224;I don't know the answer.;1.0102145671844482;Incorrect
What size is Mcdiah Hospital?;"MATCH (var1) WHERE var1.name=""Mcdiah Hospital""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;medium-sized;"MATCH (s:STATION {name: ""Mcdiah Hospital""})
RETURN s.size AS size
";1.7886013984680176;"[{""size"": ""medium-sized""}]";False;False;0.0105063915252685;Mcdiah Hospital is a medium-sized facility.;1.3210761547088623;Correct
Which stations does Purple Waec pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Waec""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4 AS var5 WITH DISTINCT var5 as var6, 1 AS foo  WITH 1 AS foo, var6.name AS var7  RETURN var7";;['Diocs Estate', 'Mccliiv Boulevard', 'Kwoetts Manor', 'Froam Lane', 'Schnerth Court', 'Mcciays Court', 'Mccaork Estate', 'Hydreurtsington', 'Tousch Lane', 'Schooz Upon Thames', 'Claury On Trent', 'Jeiabs Hospital', 'Fruirtyneyland', 'Thruolly Lane', 'Cziengly Road', 'Hords Road', 'Snuiz Estate', 'Criish Crossing'];"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION)
WHERE e.line_name = 'Purple Waec'
RETURN s1.name AS Station1, s2.name AS Station2
";5.410307168960571;"[{""Station1"": ""Froam Lane"", ""Station2"": ""Schooz Upon Thames""}, {""Station1"": ""Kwoetts Manor"", ""Station2"": ""Hords Road""}, {""Station1"": ""Mccliiv Boulevard"", ""Station2"": ""Mccaork Estate""}, {""Station1"": ""Schnerth Court"", ""Station2"": ""Thruolly Lane""}, {""Station1"": ""Tousch Lane"", ""Station2"": ""Mcciays Court""}, {""Station1"": ""Mcciays Court"", ""Station2"": ""Fruirtyneyland""}, {""Station1"": ""Fruirtyneyland"", ""Station2"": ""Diocs Estate""}, {""Station1"": ""Diocs Estate"", ""Station2"": ""Claury On Trent""}, {""Station1"": ""Cziengly Road"", ""Station2"": ""Schnerth Court""}, {""Station1"": ""Thruolly Lane"", ""Station2"": ""Jeiabs Hospital""}, {""Station1"": ""Jeiabs Hospital"", ""Station2"": ""Mccliiv Boulevard""}, {""Station1"": ""Mccaork Estate"", ""Station2"": ""Snuiz Estate""}, {""Station1"": ""Snuiz Estate"", ""Station2"": ""Froam Lane""}, {""Station1"": ""Schooz Upon Thames"", ""Station2"": ""Hydreurtsington""}, {""Station1"": ""Hydreurtsington"", ""Station2"": ""Tousch Lane""}, {""Station1"": ""Claury On Trent"", ""Station2"": ""Kwoetts Manor""}, {""Station1"": ""Hords Road"", ""Station2"": ""Criish Crossing""}]";False;False;0.0125098228454589;The Purple Waec passes through the following stations: Froam Lane, Schooz Upon Thames, Hydreurtsington, Tousch Lane, Mcciays Court, Fruirtyneyland, Diocs Estate, Claury On Trent, Kwoetts Manor, Hords Road, Criish Crossing, Snuiz Estate, Mccaork Estate, Mccliiv Boulevard, Jeiabs Hospital, Thruolly Lane, Schnerth Court, and Cziengly Road.;13.25696086883545;Correct
What size is Sqiirry Estate?;"MATCH (var1) WHERE var1.name=""Sqiirry Estate""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;medium-sized;"MATCH (s:STATION {name: 'Sqiirry Estate'})
RETURN s.size AS size
";1.813941240310669;"[{""size"": ""medium-sized""}]";False;False;0.0105142593383789;Sqiirry Estate is medium-sized.;2.195862054824829;Correct
How many lines is Ghiigh Way on?;"MATCH (var1) WHERE var1.name=""Ghiigh Way""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Ghiigh Way""})-[:EDGE]-(:LINE) 
RETURN COUNT(DISTINCT line_id) AS NumberOfLines
";1.777423858642578;;True;False;;;;Incorrect
What size is Schwarryington?;"MATCH (var1) WHERE var1.name=""Schwarryington""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;large;"MATCH (s:STATION {name: ""Schwarryington""})
RETURN s.size AS size
";2.5724689960479736;"[{""size"": ""large""}]";False;False;0.009005069732666;Schwarryington is large in size.;1.0788140296936035;Correct
Which lines is Kreolly St on?;"MATCH (var1) WHERE var1.name=""Kreolly St""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN var5";;['Orange Dweots'];"MATCH (:STATION {name: ""Kreolly St""})-[:EDGE]-(line:LINE)
RETURN DISTINCT line.name
";1.953962564468384;[];False;False;0.0228102207183837;I don't know the answer.;0.8216104507446289;Incorrect
How many music styles does Pink Rhuid pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Pink Rhuid""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;6;"MATCH (:STATION {name: ""Pink Rhuid""})-[:EDGE*]-(s:STATION)
RETURN COUNT(DISTINCT s.music) AS music_styles
";2.7247660160064697;"[{""music_styles"": 0}]";False;False;0.0256776809692382;Pink Rhuid passes through no music styles.;0.756556510925293;Incorrect
What music plays at Gnoects Upon Thames?;"MATCH (var1) WHERE var1.name=""Gnoects Upon Thames""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;swing;"MATCH (s:STATION {name: ""Gnoects Upon Thames""})
RETURN s.music AS Music
";5.09037446975708;"[{""Music"": ""swing""}]";False;False;0.01051926612854;Swing music plays at Gnoects Upon Thames.;1.6021804809570312;Correct
Does Wriott Court have rail connections?;"MATCH (var1) WHERE var1.name=""Wriott Court""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;False;"MATCH (s:STATION {name: ""Wriott Court""})-[e:EDGE]-(other:STATION)
RETURN s.has_rail AS hasRailConnections
";2.528135061264038;"[{""hasRailConnections"": false}, {""hasRailConnections"": false}]";False;False;0.022043228149414;No, Wriott Court does not have rail connections.;1.1661357879638672;Correct
Are Kleoslyneyland and Gluengington on the same line?;"MATCH (var1) WHERE var1.name=""Kleoslyneyland""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Gluengington""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: 'Kleoslyneyland'})-[:EDGE]-(e:EDGE)-[:EDGE]-(s2:STATION {name: 'Gluengington'})
RETURN e.line_name AS LineName, COUNT(e) > 0 AS OnSameLine
";4.812668323516846;[];False;False;0.014378547668457;I don't know the answer.;0.9614925384521484;Incorrect
Are Sqiirry Estate and Whoubbridge on the same line?;"MATCH (var1) WHERE var1.name=""Sqiirry Estate""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Whoubbridge""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: 'Sqiirry Estate'})-[:EDGE]-(s2:STATION {name: 'Whoubbridge'})
RETURN COUNT(*) > 0 AS on_same_line
";3.6194427013397217;"[{""on_same_line"": false}]";False;False;0.0353443622589111;No, Sqiirry Estate and Whoubbridge are not on the same line.;1.687403917312622;Correct
How many lines is Mccay Boulevard on?;"MATCH (var1) WHERE var1.name=""Mccay Boulevard""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;2;"MATCH (:STATION {name: ""Mccay Boulevard""})-[:EDGE]->(:STATION)
RETURN COUNT(DISTINCT line_id) AS NumberOfLines
";3.0368757247924805;;True;False;;;;Incorrect
Does Whiaop Street have rail connections?;"MATCH (var1) WHERE var1.name=""Whiaop Street""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;True;"MATCH (s:STATION {name: ""Whiaop Street""})-[:EDGE]-(connected:STATION)
RETURN s.name AS Station, s.has_rail AS HasRail, connected.name AS ConnectedStation
";3.493896007537842;"[{""Station"": ""Whiaop Street"", ""HasRail"": true, ""ConnectedStation"": ""Mcfial St""}]";False;False;0.0111246109008789;Yes, Whiaop Street has rail connections. It is connected to Mcfial St station.;2.3722643852233887;Correct
How many sizes of station does Cyan Troll pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Cyan Troll""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Cyan Troll""})<-[:EDGE]-(:STATION)-[:EDGE]->(:STATION)-[:EDGE]->(:LINE {name: ""Cyan Troll""})
WITH DISTINCT SIZE(COLLECT(DISTINCT s.size)) AS distinctSizes
RETURN distinctSizes;
";4.712387323379517;;True;False;;;;Incorrect
At Sneons Boulevard what sort of music plays?;"MATCH (var1) WHERE var1.name=""Sneons Boulevard""  WITH 1 AS foo, var1.music AS var2 RETURN var2";;rnb;"MATCH (s:STATION {name: ""Sneons Boulevard""})
RETURN s.music AS Music
";2.165005683898926;"[{""Music"": ""rnb""}]";False;False;0.009005069732666;At Sneons Boulevard, R&B music plays.;1.0738294124603271;Correct
How many architectural styles does Orange Dwomp pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Orange Dwomp""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.architecture AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:STATION {name: ""Orange Dwomp""})-[:EDGE*]-(s:STATION)
RETURN COUNT(DISTINCT s.architecture) AS architectural_styles
";2.010242462158203;"[{""architectural_styles"": 0}]";False;False;0.0262060165405273;Orange Dwomp passes through zero architectural styles.;1.429612398147583;Incorrect
Does Dyniaopt On Trent have disabled access?;"MATCH (var1) WHERE var1.name=""Dyniaopt On Trent""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;False;"MATCH (s:STATION {name: ""Dyniaopt On Trent""})
RETURN s.disabled_access AS DisabledAccess
";2.5443804264068604;"[{""DisabledAccess"": false}]";False;False;0.0088734626770019;No, Dyniaopt On Trent does not have disabled access.;1.1843440532684326;Correct
Describe Keauntz Hospital station's architectural style.;"MATCH (var1) WHERE var1.name=""Keauntz Hospital""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;new;"MATCH (s:STATION {name: ""Keauntz Hospital""}) RETURN s.architecture AS ArchitecturalStyle
";2.6203360557556152;"[{""ArchitecturalStyle"": ""new""}]";False;False;0.0106861591339111;Keauntz Hospital station features a new architectural style.;1.1530556678771973;Correct
Are Cuinnton and Spriaords Palace on the same line?;"MATCH (var1) WHERE var1.name=""Cuinnton""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Spriaords Palace""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION)-[e:EDGE]-(s2:STATION)
WHERE s1.name = 'Cuinnton' AND s2.name = 'Spriaords Palace'
RETURN e.line_id, e.line_name
";3.760321140289306;[];False;False;0.02628755569458;I don't know the answer.;0.8775138854980469;Incorrect
How clean is Thorr On Trent?;"MATCH (var1) WHERE var1.name=""Thorr On Trent""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;derilict;"MATCH (s:STATION {name: ""Thorr On Trent""})
RETURN s.cleanliness AS Cleanliness
";4.001336336135864;"[{""Cleanliness"": ""derilict""}]";False;False;0.0085234642028808;Thorr On Trent is currently in a derelict state of cleanliness.;1.1424405574798584;Correct
Which stations does Cyan Hypory pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Cyan Hypory""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4 AS var5 WITH DISTINCT var5 as var6, 1 AS foo  WITH 1 AS foo, var6.name AS var7  RETURN var7";;['Sceiys Road', 'Ghiigh Way', 'Slairt Estate', 'Krep Bridge', 'Schlauebs Street', 'Rhuol Palace', 'Sift Boulevard', 'Klioc Palace', 'Fiallsneyland', 'Mcnuody Square', 'Klardham', 'Mclaipt Crossing', 'Xaung Boulevard', 'Wuierrham', 'Twoud Boulevard', 'Hypeacts Manor', 'Schrioull St', 'Sloiacy Upon Thames', 'Hypask Square'];"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION)
WHERE e.line_name = 'Cyan Hypory'
RETURN s1.name AS Station1, s2.name AS Station2
";3.067852020263672;"[{""Station1"": ""Xaung Boulevard"", ""Station2"": ""Sift Boulevard""}, {""Station1"": ""Sceiys Road"", ""Station2"": ""Ghiigh Way""}, {""Station1"": ""Hypeacts Manor"", ""Station2"": ""Twoud Boulevard""}, {""Station1"": ""Twoud Boulevard"", ""Station2"": ""Slairt Estate""}, {""Station1"": ""Slairt Estate"", ""Station2"": ""Schlauebs Street""}, {""Station1"": ""Schlauebs Street"", ""Station2"": ""Schrioull St""}, {""Station1"": ""Schrioull St"", ""Station2"": ""Xaung Boulevard""}, {""Station1"": ""Sift Boulevard"", ""Station2"": ""Sloiacy Upon Thames""}, {""Station1"": ""Sloiacy Upon Thames"", ""Station2"": ""Klardham""}, {""Station1"": ""Klardham"", ""Station2"": ""Wuierrham""}, {""Station1"": ""Wuierrham"", ""Station2"": ""Mcnuody Square""}, {""Station1"": ""Mcnuody Square"", ""Station2"": ""Krep Bridge""}, {""Station1"": ""Krep Bridge"", ""Station2"": ""Mclaipt Crossing""}, {""Station1"": ""Mclaipt Crossing"", ""Station2"": ""Hypask Square""}, {""Station1"": ""Hypask Square"", ""Station2"": ""Sceiys Road""}, {""Station1"": ""Ghiigh Way"", ""Station2"": ""Rhuol Palace""}, {""Station1"": ""Rhuol Palace"", ""Station2"": ""Fiallsneyland""}, {""Station1"": ""Fiallsneyland"", ""Station2"": ""Klioc Palace""}]";False;False;0.0070641040802001;I don't know the answer.;1.1159350872039795;Incorrect
How many sizes of station does Orange Dweots pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Orange Dweots""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.size AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Orange Dweots""})<-[:EDGE]-(:STATION)-[:EDGE]->(:STATION)-[:EDGE]->(:LINE {name: ""Orange Dweots""})
WITH DISTINCT s.size AS uniqueSizes
RETURN COUNT(uniqueSizes) AS numberOfUniqueSizes
";6.464855909347534;;True;False;;;;Incorrect
How many architectural styles does Purple Xiour pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Purple Xiour""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.architecture AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;5;"MATCH (:LINE {name: ""Purple Xiour""})<-[:EDGE]-(:STATION)-[:EDGE]->(:STATION)-[:EDGE]->(:LINE {name: ""Purple Xiour""})
WITH DISTINCT s.architecture AS architecture
RETURN COUNT(architecture) AS architecturalStylesCount
";4.623178720474243;;True;False;;;;Incorrect
How clean is Psycheuff Palace?;"MATCH (var1) WHERE var1.name=""Psycheuff Palace""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;clean;"MATCH (s:STATION {name: ""Psycheuff Palace""})
RETURN s.cleanliness AS Cleanliness
";2.0125157833099365;"[{""Cleanliness"": ""clean""}]";False;False;0.0098741054534912;Psycheuff Palace is clean.;1.587510347366333;Correct
